LocNombre,Walk_Base
BOSA,0.45866
BOSA,0.39849
BOSA,0.46931
BOSA,0.4002
BOSA,0.61656
BOSA,0.63084
BOSA,0.60468
BOSA,0.28612
BOSA,0.33377
BOSA,0.40597
BOSA,0.34802
BOSA,0.35149
BOSA,0.35085
BOSA,0.35085
BOSA,0.40447
BOSA,0.46811
BOSA,0.28203
BOSA,0.49943
BOSA,0.46667
BOSA,0.41598
BOSA,0.5484
BOSA,0.62146
BOSA,0.51683
BOSA,0.44581
BOSA,0.62084
BOSA,0.60385
BOSA,0.61275
BOSA,0.54413
BOSA,0.35045
BOSA,0.33877
BOSA,0.32287
BOSA,0.42377
BOSA,0.39551
BOSA,0.33797
BOSA,0.45645
BOSA,0.61299
BOSA,0.4674
BOSA,0.53472
BOSA,0.58898
BOSA,0.55781
BOSA,0.54268
BOSA,0.55118
BOSA,0.49724
BOSA,0.55118
BOSA,0.42298
BOSA,0.40561
BOSA,0.4034
BOSA,0.35448
BOSA,0.41377
BOSA,0.41377
BOSA,0.33966
BOSA,0.39554
BOSA,0.39554
BOSA,0.45019
BOSA,0.43812
BOSA,0.41354
BOSA,0.40634
BOSA,0.39733
BOSA,0.56269
BOSA,0.60873
BOSA,0.57313
BOSA,0.38994
BOSA,0.37402
BOSA,0.36882
BOSA,0.38363
BOSA,0.33506
BOSA,0.40227
BOSA,0.45589
BOSA,0.33803
BOSA,0.44851
BOSA,0.39197
BOSA,0.39197
BOSA,0.39165
BOSA,0.45908
BOSA,0.33803
BOSA,0.33803
BOSA,0.44559
BOSA,0.40442
BOSA,0.6051
BOSA,0.52156
BOSA,0.39173
BOSA,0.38387
BOSA,0.45674
BOSA,0.40769
BOSA,0.43598
BOSA,0.4034
BOSA,0.45733
BOSA,0.51915
BOSA,0.40372
BOSA,0.28177
BOSA,0.34115
BOSA,0.33396
BOSA,0.40343
BOSA,0.40343
BOSA,0.37213
BOSA,0.40506
BOSA,0.33244
BOSA,0.41033
BOSA,0.40993
BOSA,0.34021
BOSA,0.39169
BOSA,0.3441
BOSA,0.52551
BOSA,0.51279
BOSA,0.37776
BOSA,0.53176
BOSA,0.47782
BOSA,0.53633
BOSA,0.53633
BOSA,0.58995
BOSA,0.58995
BOSA,0.58995
BOSA,0.58951
BOSA,0.52356
BOSA,0.39536
BOSA,0.55381
BOSA,0.61834
BOSA,0.61014
BOSA,0.55696
BOSA,0.48579
BOSA,0.49795
BOSA,0.40314
BOSA,0.34983
BOSA,0.42771
BOSA,0.39528
BOSA,0.41564
BOSA,0.27856
BOSA,0.37214
BOSA,0.41954
BOSA,0.47316
BOSA,0.51077
BOSA,0.45777
BOSA,0.34122
BOSA,0.33991
BOSA,0.38483
BOSA,0.55321
BOSA,0.4507
BOSA,0.37039
BOSA,0.44156
BOSA,0.46729
BOSA,0.34683
BOSA,0.46879
BOSA,0.53623
BOSA,0.53623
BOSA,0.53804
BOSA,0.42085
BOSA,0.33742
BOSA,0.38499
BOSA,0.6204
BOSA,0.4584
BOSA,0.50104
BOSA,0.38489
BOSA,0.33734
BOSA,0.33294
BOSA,0.40481
BOSA,0.40481
BOSA,0.45843
BOSA,0.45843
BOSA,0.39248
BOSA,0.38223
BOSA,0.43888
BOSA,0.39446
BOSA,0.41089
BOSA,0.49602
BOSA,0.49602
BOSA,0.51616
BOSA,0.5097
BOSA,0.51741
BOSA,0.57103
BOSA,0.50464
BOSA,0.45827
BOSA,0.41408
BOSA,0.40122
BOSA,0.38555
BOSA,0.60524
BOSA,0.50224
BOSA,0.28945
BOSA,0.50915
BOSA,0.46851
BOSA,0.40521
BOSA,0.32454
BOSA,0.31897
BOSA,0.33332
BOSA,0.47257
BOSA,0.39232
BOSA,0.32826
BOSA,0.37382
BOSA,0.35274
BOSA,0.28635
BOSA,0.42585
BOSA,0.414
BOSA,0.49838
BOSA,0.49838
BOSA,0.49838
BOSA,0.34756
BOSA,0.27726
BOSA,0.40728
BOSA,0.49923
BOSA,0.41076
BOSA,0.38159
BOSA,0.38045
BOSA,0.3614
BOSA,0.44126
